Run_ID,Instellation (W/m^2),Spectral_Type,R_Planet (m),M_Planet (kg),P_Surface (Pa),x_CO2,x_H2O,Albedo,Recirculation_Factor,Surface_Temp (K),Status
run_1,1099.0559683136719,G2,6371000.0,5.972e+24,211421.39554631533,1.2141717097557157e-06,9.853659599875975e-05,0.043765175974209786,0.25,264.532,Success
run_0,166.36358004096948,G2,6371000.0,5.972e+24,877492.7531489903,1.876512669200141e-06,3.651948721210771e-06,0.3647535227174836,0.25,164.535,Success
run_2,1167.2810513838522,G2,6371000.0,5.972e+24,14367.121949507602,0.015170678798039768,0.04787431861331918,0.045030641577020976,0.25,269.216,Success
run_3,523.0396947910692,G2,6371000.0,5.972e+24,16509.45465444854,3.894648722347791e-06,0.07448588175424908,0.4858221743488955,0.25,217.783,Success
run_4,558.3267888398537,G2,6371000.0,5.972e+24,441926.6629178851,1.3794601080425797e-06,3.6543690756698205e-05,0.39204807067294817,0.25,222.394,Success
run_5,1738.200446055285,G2,6371000.0,5.972e+24,967251.9345828551,0.09444320911573832,1.4627488470651142e-06,0.21532366157268387,0.25,308.038,Success
run_6,792.4237414458787,G2,6371000.0,5.972e+24,604231.2885613986,0.020977810879836606,0.25920901034460375,0.44014871104292885,0.25,267.262,Success
run_7,473.1480512920916,G2,6371000.0,5.972e+24,128761.46371192492,5.9599472333156945e-05,0.7972061602248464,0.1519035169136909,0.25,227.005,Success
run_8,2448.2781535155873,G2,6371000.0,5.972e+24,12671.98938756358,3.1870877895085544e-05,0.11251307574511968,0.371253726146878,0.25,322.362,Success
run_9,2473.8947323585408,G2,6371000.0,5.972e+24,61225.09618332553,0.28639493732443716,0.3008724440884062,0.3361654423105992,0.25,330.983,Success
run_10,1786.1861301964452,G2,6371000.0,5.972e+24,935046.4772619674,0.05207682053620549,0.00034507867477297075,0.33568529303380745,0.25,307.98,Success
run_11,179.44931078110864,G2,6371000.0,5.972e+24,129621.25247983648,0.03623181765386855,2.9547746543585594e-05,0.40340318757136795,0.25,168.755,Success
run_12,1471.3930654015023,G2,6371000.0,5.972e+24,110519.90065126232,1.1676642909231339e-06,1.0637437471956921e-05,0.34495710894139686,0.25,283.799,Success
run_13,2698.957460936133,G2,6371000.0,5.972e+24,222693.80923740895,0.36757266063915384,0.02213227246519526,0.1617050294600261,0.25,347.485,Success
run_14,318.07598277102477,G2,6371000.0,5.972e+24,428289.9752248239,0.019622801789235138,0.003770309342271803,0.051762644689853594,0.25,201.841,Success
run_15,1344.9508473653302,G2,6371000.0,5.972e+24,459524.39357435313,2.6678172260526636e-06,8.47853982956556e-05,0.13759161258842453,0.25,278.644,Success
run_16,935.0542769724756,G2,6371000.0,5.972e+24,12363.423330131613,0.000248330524574981,0.03439870507601787,0.08036556669909699,0.25,254.031,Success
run_17,2694.56986402909,G2,6371000.0,5.972e+24,184734.50700431297,0.02257448713589148,7.901998374368418e-05,0.11155946301536725,0.25,335.368,Success
run_19,1512.252185895199,G2,6371000.0,5.972e+24,15940.940034087422,2.52358301947833e-05,0.0014715472307409601,0.08374743998532788,0.25,285.975,Success
run_18,1035.4688373019299,G2,6371000.0,5.972e+24,559917.9857851145,4.672116168675759e-06,0.11565906762369169,0.4344629012172569,0.25,273.085,Success
run_20,1607.0228523034264,G2,6371000.0,5.972e+24,137817.80212530895,7.300897059600969e-06,3.3018359610205492e-06,0.4465366750325945,0.25,290.052,Success
run_21,1241.0074346544413,G2,6371000.0,5.972e+24,23840.336391618406,0.0009394973537261707,0.0020495490896394633,0.13476500186661164,0.25,272.408,Success
